issue_number,title,url,labels,created_at
2588,[Bug]: vllm部署Llama3.1 W8A8量化模型报错,https://github.com/vllm-project/vllm-ascend/issues/2588,,Unknown
2468,[Bug]: Deepseek bug with DBO,https://github.com/vllm-project/vllm-ascend/issues/2468,,Unknown
2424,[Bug]: Qwen3-32b start up failed,https://github.com/vllm-project/vllm-ascend/issues/2424,,Unknown
2422,[Bug]: 在310P3的显卡上，用v.10.0版本运行Qwen3-Embedding-0.6B，显存占到18G,https://github.com/vllm-project/vllm-ascend/issues/2422,,Unknown
2414,[Bug]:  MiniMax/MiniMax-M1-40k and MiniMax/MiniMax-Text-01 failed to start in enage and graph model,https://github.com/vllm-project/vllm-ascend/issues/2414,,Unknown
2406,[Bug]: Disaggregate prefill repro fail,https://github.com/vllm-project/vllm-ascend/issues/2406,,Unknown
2399,[Bug]: link failed using llmdatadist for disaggregated prefill,https://github.com/vllm-project/vllm-ascend/issues/2399,,Unknown
2390,[Bug]: DP on multi-node don't work,https://github.com/vllm-project/vllm-ascend/issues/2390,,Unknown
2336,[Bug]: Empty Response,https://github.com/vllm-project/vllm-ascend/issues/2336,,Unknown
2332,[Bug]:910B用vllm推理出现乱码,https://github.com/vllm-project/vllm-ascend/issues/2332,,Unknown
2320,[Bug]:vllm-ascned DP+EP ERROR,https://github.com/vllm-project/vllm-ascend/issues/2320,,Unknown
2318,[Bug]:W8A8 Per-Token Quantized Qwen3 Generates Garbled Output in vLLM but Works in Transformers,https://github.com/vllm-project/vllm-ascend/issues/2318,,Unknown
2304,[Bug]:缓存命中为0,https://github.com/vllm-project/vllm-ascend/issues/2304,,Unknown
2297,[Bug]: torchair报错,https://github.com/vllm-project/vllm-ascend/issues/2297,,Unknown
2258,[Bug]: ZhipuAI/GLM-4-32B-0414 failed to start in enage and graph model,https://github.com/vllm-project/vllm-ascend/issues/2258,,Unknown
2255,[Bug]: ZhipuAI/glm-4-9b-chat-hf failed to start in enage and graph model,https://github.com/vllm-project/vllm-ascend/issues/2255,,Unknown
2239,"[Bug]: Qwen2.5-7B The process exits for this inner error, and the current working operator name is SelfAttentionOperation",https://github.com/vllm-project/vllm-ascend/issues/2239,,Unknown
2229,[Bug]: Qwen3 MoE not work with DP + EP due to lack of streams,https://github.com/vllm-project/vllm-ascend/issues/2229,,Unknown
2078,[Bug]: error encountered when trying to quantize model with modelslim,https://github.com/vllm-project/vllm-ascend/issues/2078,,Unknown
2071,[Bug]: 0.9.rc2 with ngram spec decoding report assert attn_metadata.attn_mask is not None error,https://github.com/vllm-project/vllm-ascend/issues/2071,,Unknown
2070,"[Bug]: ACL stream synchronize failed, error code:507053",https://github.com/vllm-project/vllm-ascend/issues/2070,,Unknown
2069,[Bug]: 0.9.1dev版本0728，vllm ascend运行qwen3 235B A22B W8A8，800T A2 下8卡，attention dp8， moe etp8切分，上下文长度4200，推理卡死，plog报错out of memory,https://github.com/vllm-project/vllm-ascend/issues/2069,,Unknown
2068,[Bug]: 0.9.2rc1版本 vllm ascend开启图模式场景下运行qwen2.5 14b 报错不支持旋转编码的torch api,https://github.com/vllm-project/vllm-ascend/issues/2068,,Unknown
2064,[Bug]: OpenGVLab/InternVL3-9B failed to start in graph and eager mode,https://github.com/vllm-project/vllm-ascend/issues/2064,,Unknown
2053,[Bug]: Qwen3-Coder-480B-A35B-Instruct poor accuracy,https://github.com/vllm-project/vllm-ascend/issues/2053,,Unknown
1886,[Bug]:TTFT differs unexpectedly for the same prompt with different --max-num-batched-tokens,https://github.com/vllm-project/vllm-ascend/issues/1886,,Unknown
1883,[Bug]: vllm推理internvl3的时候，报错  “selfRef expected dtype is DT_INT32 but found DT_BFLOAT16.”,https://github.com/vllm-project/vllm-ascend/issues/1883,,Unknown
1865,[Bug]: 16卡推理ds-w8a8提示多进程卡间通讯超时,https://github.com/vllm-project/vllm-ascend/issues/1865,,Unknown
1845,[Bug]: 基于verl的lora训练，迭代几步后，vllm进行lora推理时报错,https://github.com/vllm-project/vllm-ascend/issues/1845,,Unknown
1815,[Bug]: deepseek-r1-w8a8 DP4 TP4 EP16 + torchair，RuntimeError: EJ0002: [PID: 38079] 2025-07-15-12:45:31.202.787 The network port is down.,https://github.com/vllm-project/vllm-ascend/issues/1815,,Unknown
1798,[Bug]: Function Tool Call Output Not in Expected Format with DeepSeek V3 0324 w8a8 on Ascend910B,https://github.com/vllm-project/vllm-ascend/issues/1798,,Unknown
1788,"[Bug]: [0.9.2rc1] TP=4 DP=4 EP=16 + eager + deepseek-r1-w8a8, RuntimeError: call aclnnMoeDistributeDispatch failed",https://github.com/vllm-project/vllm-ascend/issues/1788,,Unknown
1704,[Bug]: DIST Call hccl api failed error occurred during PP in the ray cluster.,https://github.com/vllm-project/vllm-ascend/issues/1704,,Unknown
1702,[Bug]: Cannot get correct trace results.,https://github.com/vllm-project/vllm-ascend/issues/1702,,Unknown
1664,"[Bug]: <code>parallel_config.expert_tensor_parallel_size</code> is set even for dense model, lower the number of ACL Graphs",https://github.com/vllm-project/vllm-ascend/issues/1664,,Unknown
1657,[Bug]: 0.9.1rc1-dev，offline推理下，启动一个自定义类Deepseek模型（只有dense层，有MLA），报错。明显的问题是：切片参数需要时整数，而这里是浮点数,https://github.com/vllm-project/vllm-ascend/issues/1657,,Unknown
1628,[Bug]: DeepSeek-v3-w8a8 failed with DBO,https://github.com/vllm-project/vllm-ascend/issues/1628,,Unknown
1617,[Bug]: vllm.LLM内参数设置不对会导致out of memory？,https://github.com/vllm-project/vllm-ascend/issues/1617,,Unknown
1592,[Bug]: vllm-ascend v0.7.3.post1推理运行时，对于提示词中有JSON格式要求输出的情况会crash,https://github.com/vllm-project/vllm-ascend/issues/1592,,Unknown
